Source_IP,Destination_IP,Source_Port,Dest_Port,Protocol,Packet_Length,TTL,Confidentiality_Score,Confidentiality_Signal,Risk_Tier,Risk_Confidence,Sensitivity,Final_Score,Selected_Algorithm,Selected_Policy,PQC_Handshake_Used,Symmetric_Cipher,Resource_Status,CPU_Percent,Memory_Percent
10.0.0.2,10.0.0.1,8000,60660,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46282,8443,HTTPS,66,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,74,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46294,HTTPS,74,64,0.9,PROTO-HTTPS,LOW,0.952,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,66,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,583,64,0.9,PORT-8443,LOW,0.932,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46294,HTTPS,66,64,0.9,PROTO-HTTPS,LOW,0.952,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60660,HTTP,222,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60660,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60660,HTTP,1413,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60660,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60660,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60660,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60660,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60668,8000,HTTP,74,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46294,HTTPS,1401,64,0.9,PROTO-HTTPS,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,66,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60668,HTTP,74,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60668,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60668,8000,HTTP,183,64,0.5,PORT-8000,LOW,0.922,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60668,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,146,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,205,64,0.9,PORT-8443,LOW,0.922,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46294,HTTPS,321,64,0.9,PROTO-HTTPS,LOW,0.947,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60668,HTTP,222,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60668,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60668,HTTP,1413,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60668,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60668,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60668,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60668,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46294,HTTPS,1514,64,0.9,PROTO-HTTPS,LOW,0.932,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,66,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46294,HTTPS,420,64,0.9,PROTO-HTTPS,LOW,0.952,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46294,HTTPS,66,64,0.9,PROTO-HTTPS,LOW,0.952,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60672,8000,HTTP,74,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60672,HTTP,74,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60672,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46294,8443,HTTPS,66,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46298,8443,HTTPS,74,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46298,HTTPS,74,64,0.9,PROTO-HTTPS,LOW,0.952,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46298,8443,HTTPS,66,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60672,8000,HTTP,183,64,0.5,PORT-8000,LOW,0.922,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60672,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46298,8443,HTTPS,583,64,0.9,PORT-8443,LOW,0.932,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46298,HTTPS,66,64,0.9,PROTO-HTTPS,LOW,0.952,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60672,HTTP,222,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60672,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60672,HTTP,1413,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60672,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60672,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60672,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60672,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60682,8000,HTTP,74,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60682,HTTP,74,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46298,HTTPS,1401,64,0.9,PROTO-HTTPS,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60682,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46298,8443,HTTPS,66,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60682,8000,HTTP,183,64,0.5,PORT-8000,LOW,0.922,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60682,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46298,8443,HTTPS,146,64,0.9,PORT-8443,LOW,0.942,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,46298,8443,HTTPS,205,64,0.9,PORT-8443,LOW,0.922,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8443,46298,HTTPS,321,64,0.9,PROTO-HTTPS,LOW,0.947,HIGH,0.9,ML-KEM-1024 + AES-256-GCM,High Security Policy,True,AES-256-GCM,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60682,HTTP,222,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60682,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60682,HTTP,1413,64,0.5,PROTO-HTTP,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60682,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60682,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60682,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60682,HTTP,66,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60686,8000,HTTP,74,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.2,10.0.0.1,8000,60686,HTTP,74,64,0.5,PROTO-HTTP,LOW,0.952,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60686,8000,HTTP,66,64,0.5,PORT-8000,LOW,0.942,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
10.0.0.1,10.0.0.2,60686,8000,HTTP,183,64,0.5,PORT-8000,LOW,0.922,MEDIUM,0.5,AES-256-CBC,Standard Security Policy,False,AES-256-CBC,AVAILABLE,14.6,50.2
